No,FECHA ,ALCALDÍA,GIRO,DENOMINACIÓN,DILIGENCIA
67,5/5/2020,MIGUEL HIDALGO,VENTA DE TELAS,ANGELITA,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
68,5/6/2020,MIGUEL HIDALGO,VENTA DE COMPONENTES ELECTRONICOS,STEREN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
69,5/7/2020,IZTAPALAPA,TIENDA DE ARTICULOS DEPORTIVOS,SAN PABLO HEALTHY,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
70,5/7/2020,IZTAPALAPA,TIENDA DE INSTRUMENTOS MUSICALES,HARD MUSIC,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
71,5/7/2020,IZTAPALAPA,TIENDA DE COLCHONES,COLCHON CENTER,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
72,5/7/2020,XOCHIMILCO,TIENDA DE MUEBLES PARA BAÑO,MUEBLES PARA BAÑO SA DE CV,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
73,5/8/2020,IZTACALCO,"ARMADORADE BICICLETAS, OFICINAS Y BODEGA",BENOTTO,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
74,5/8/2020,IZTACALCO,VENTA DE ARTICULOS MANUFACTURADOS,GURZA,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
75,5/9/2020,TLALPAN,VENTA DE ARTÍCULOS DE ELECTRÓNICA,STEREN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
76,5/11/2020,COYOACAN,VENTA DE COLCHONES,DORMIMUNDO,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
77,5/11/2020,COYOACAN,VENTA DE PINTURAS,COMEX,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
78,5/11/2020,COYOACAN,VENTA DE PAPELERIA Y ARTICULOS DE OFICINA,OFFICE DEPOT,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
79,5/12/2020,CUAUHTEMOC,VENTA DE ROPA INTERIOR,2 CLOVEK,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
80,5/12/2020,GUSTAVO A. MADERO,"VENTA DE MUEBLES PARA BAÑO, AZULEJOS Y ACCESORIOS",LLANO DE LA TORRE,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
81,5/12/2020,GUSTAVO A. MADERO,"VENTA DE MUEBLES PARA BAÑO, AZULEJOS Y ACCESORIOS",INTERCERAMIC,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
82,5/12/2020,GUSTAVO A. MADERO,VENTA DE ARTÍCULOS MANUFACTURADOS,ANFORAMA,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
83,5/13/2020,MIGUEL HIDALGO,VENTA DE PAPELERIA Y ARTICULOS DE OFICINA,OFFICE MAX,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
84,5/13/2020,MIGUEL HIDALGO,VENTA DE PAPELERIA Y ARTICULOS DE OFICINA,OFFICE DEPOT,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
85,5/13/2020,MIGUEL HIDALGO,DISTRIBUIDOR DE MATERIALES Y ACABADOS DECORATIVOS,GURZA,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
86,5/14/2020,CUAUHTEMOC,OFICINAS,CCS CALL CENTER SERVICES,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
87,5/15/2020,CUAJIMALPA DE MORELOS,VENTA DE PRODUCTOS MANUFACTURADOS,ANFORAMA,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
88,5/15/2020,CUAJIMALPA DE MORELOS,VENTA DE MATERIALES DE CONSTRUCCION,PLAFORAMA,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
89,5/18/2020,AZCAPOTZALCO,VENTA DE AZULEJOS,AZULEJERA MENDOZA,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
90,5/18/2020,AZCAPOTZALCO,VIDRIERIA,VACSS,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
91,5/19/2020,CUAUHTEMOC,"PAPELERIA, LIBRERÍA Y JUGUETERIA",EL BUEN ESTUDIANTE,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
92,5/19/2020,CUAUHTEMOC,VENTA DE MUEBLES,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
93,5/19/2020,MIGUEL HIDALGO,VENTA DE PINTURAS,PINTURAS BEREL,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
94,5/20/2020,ALVARO OBREGON,PAPELERIA,LUMEN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
95,5/20/2020,ALVARO OBREGON,VENTA DE PINTURAS,PINTURAS BEREL,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
96,5/20/2020,ALVARO OBREGON,VENTA DE PINTURAS,SAYER,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
97,5/21/2020,BENITO JUAREZ,VENTA DE COLCHONES,COLCHONES ATLAS,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
98,5/21/2020,ALVARO OBREGON,BILLAR,BILLAR SAN ANGEL,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
99,5/21/2020,ALVARO OBREGON,VENTA DE TELAS,CASA BAYON,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
100,5/22/2020,TLALPAN,VENTA DE MATERIALES PARA CORTINAS Y TAPICERIA,DECORACIONES DIASER,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
101,5/22/2020,TLALPAN,IMPRESIÓN DE LONAS,SIN DENOMINACIÓN,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
102,5/22/2020,IZTAPALAPA,VENTA DE PINTURAS,SAYER,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
103,5/22/2020,IZTAPALAPA,IMPRESIÓN DE LONAS Y PUBLICIDAD,SIN DENOMINACIÓN,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
104,5/22/2020,VENUSTIANO CARRANZA,VENTA DE PINTURAS,PINTURAS BEREL,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
105,5/22/2020,IZTACALCO,VENTA DE PISOS,EL COMPETIDOR,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
106,5/23/2020,IZTAPALAPA,CENTRO DE MASAJES Y ESTETICA,SIN DENOMINACIÓN,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
107,5/25/2020,CUAUHTEMOC,VENTA DE MARCOS Y MOLDURAS,COAHUILA,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
108,5/26/2020,BENITO JUAREZ,"VENTA DE MUEBLES PARA BAÑO, PISOS Y RECUBRIMIENTOS",CASTEL,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
109,5/26/2020,BENITO JUAREZ,VENTA DE PISOS Y MUEBLES PARA BAÑO,INTERCERAMIC,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
110,5/26/2020,IZTAPALAPA,VENTA DE ARTICULOS PARA EL HOGAR,ANFORAMA,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
111,5/26/2020,COYOACAN,VENTA DE PANELES PARA CONSTRUCCION,SIN DENOMINACION,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
112,5/26/2020,TLALPAN,VENTA DE PISOS Y MUEBLES PARA BAÑO,DISTRIBUCION INTERCERAMIC,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
113,5/27/2020,CUAUHTEMOC,REPARACIÓN DE ELECTRODOMÉSTICOS,SERVICIO HERNANDEZ,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
114,5/27/2020,CUAUHTEMOC,VENTA DE MATERIAL ELÉCTRICO,MINI ILUMINACIÓN,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
115,5/27/2020,BENITO JUAREZ,VENTA DE MUEBLES DE BAÑO Y AZULEJOS,COMERCIAL AZULEJERA,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
116,5/28/2020,AZCAPOTZALCO,VENTA DE ARTICULOS DE PAPELERIA,OFFICE DEPOT,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
117,5/28/2020,CUAUHTEMOC,CALL CENTER,CONTACTECH,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
118,5/28/2020,AZCAPOTZALCO,ZAPATERIA,LA LUNA,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
119,5/29/2020,CUAJIMALPA DE MORELOS,VENTA DE PERFUMES,PERFUMES EUROPEOS,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
120,5/29/2020,CUAJIMALPA DE MORELOS,VENTA DE REGALOS Y BISUTERIA,SIN DENOMINACION,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
121,5/29/2020,CUAJIMALPA DE MORELOS,VENTA DE ROPA,SIN DENOMINACION,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
122,6/5/2020,BENITO JUAREZ,VENTA DE CLOSETS Y PUERTAS,CLOSETS Y PUERTAS,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
123,6/5/2020,VENUSTIANO CARRANZA,VENTA DE ARTICULOS MANUFACTURADOS,ANFORAMA,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
124,6/10/2020,LA MAGDALENA CONTRERAS,VENTA DE TELAS,MODATELAS S.A DE C.V.,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
